City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
mataura,NZ,0,1586559974,74,-46.19,168.86,59.0,5.99
surt,LY,48,1586559974,57,31.21,16.59,58.71,9.69
cidreira,BR,5,1586559975,77,-30.18,-50.21,64.67,6.71
punta arenas,CL,75,1586559975,75,-53.15,-70.92,44.6,9.17
bluff,NZ,0,1586559975,74,-46.6,168.33,59.0,5.99
saint george,US,1,1586559975,36,37.1,-113.58,66.0,21.92
narsaq,GL,100,1586559976,26,60.92,-46.05,44.6,32.21
zhanakorgan,KZ,89,1586559976,49,43.91,67.25,46.29,6.96
kapaa,US,1,1586559976,54,22.08,-159.32,80.6,14.99
mumford,GH,100,1586559976,82,5.26,-0.76,80.8,7.07
aklavik,CA,75,1586559976,38,68.22,-135.01,24.8,8.05
thompson,CA,90,1586559779,43,55.74,-97.86,33.8,6.67
ushuaia,AR,75,1586559977,73,-54.8,-68.3,44.6,18.34
quimper,FR,0,1586559977,50,48,-4.1,57.2,3.36
bredasdorp,ZA,69,1586559977,87,-34.53,20.04,59.0,6.93
broken hill,AU,40,1586559978,24,-31.95,141.43,68.0,13.87
verkhnyaya inta,RU,100,1586559978,96,65.98,60.31,21.61,16.02
yarada,IN,40,1586559978,88,17.65,83.27,77.0,2.24
saint-philippe,RE,73,1586559780,73,-21.36,55.77,77.0,14.99
khatanga,RU,92,1586559979,96,71.97,102.5,30.99,21.07
nisia floresta,BR,20,1586559979,83,-6.09,-35.21,80.6,5.82
constantine,DZ,75,1586559976,93,36.37,6.61,53.6,3.36
kieta,PG,10,1586559979,70,-6.22,155.63,84.81,4.63
kajaani,FI,26,1586559980,79,64.23,27.73,21.2,3.36
mastic beach,US,20,1586559702,45,40.77,-72.85,46.99,27.51
constitucion,CL,30,1586559980,86,-35.33,-72.42,54.14,9.04
hamilton,US,40,1586559980,37,39.18,-84.53,50.0,12.75
qaanaaq,GL,28,1586559981,76,77.48,-69.36,5.74,7.27
severo-kurilsk,RU,79,1586559981,95,50.68,156.12,31.64,8.61
albany,US,75,1586559735,48,42.6,-73.97,44.6,20.8
fortuna,US,75,1586559981,81,40.6,-124.16,57.0,11.41
horsham,GB,45,1586559982,81,51.06,-0.33,57.2,5.82
georgetown,MY,20,1586559982,88,5.41,100.34,82.4,5.82
norman wells,CA,20,1586559982,42,65.28,-126.83,30.2,10.29
dhidhdhoo,MV,0,1586559983,64,6.88,73.1,84.31,2.98
barrow,US,90,1586559846,77,71.29,-156.79,-2.2,10.29
torbay,CA,90,1586559913,100,47.67,-52.73,39.99,11.41
puerto ayora,EC,40,1586559818,70,-0.74,-90.35,84.2,6.93
rawson,AR,61,1586559983,40,-43.3,-65.1,72.27,18.77
marawi,PH,50,1586559984,62,8,124.29,75.31,2.24
hobyo,SO,92,1586559984,70,5.35,48.53,82.33,8.81
viedma,AR,0,1586559984,41,-40.81,-63,68.7,17.45
nurlat,RU,100,1586559984,57,54.43,50.81,42.46,17.76
port alfred,ZA,49,1586559985,86,-33.59,26.89,64.76,4.05
pauini,BR,85,1586559985,88,-7.71,-66.98,77.09,0.63
griffith,US,20,1586559751,39,41.53,-87.42,52.0,8.05
zhigansk,RU,0,1586559716,95,66.77,123.37,24.94,12.41
yellowknife,CA,75,1586559750,61,62.46,-114.35,19.0,16.11
kargasok,RU,0,1586559986,97,59.06,80.86,25.97,7.7
upernavik,GL,0,1586559986,86,72.79,-56.15,11.26,10.38
east london,ZA,96,1586559986,77,-33.02,27.91,69.04,4.05
coihaique,CL,90,1586559756,66,-45.58,-72.07,50.0,3.36
weiser,US,1,1586559987,20,44.25,-116.97,77.0,4.7
pacific grove,US,1,1586559740,67,36.62,-121.92,68.0,12.75
burnie,AU,37,1586559987,59,-41.07,145.92,55.0,14
marsh harbour,BS,16,1586559913,84,26.54,-77.06,75.27,15.52
jamestown,US,90,1586559988,59,42.1,-79.24,39.2,23.04
kozhva,RU,100,1586559988,97,65.11,57.05,20.41,12.95
vaini,TO,40,1586559988,69,-21.2,-175.2,80.6,11.41
butaritari,KI,100,1586559988,74,3.07,172.79,84.7,9.82
tiksi,RU,68,1586559971,93,71.69,128.87,23.34,26.69
willmar,US,1,1586559989,29,45.12,-95.04,51.8,9.17
kodiak,US,1,1586559989,69,57.79,-152.41,39.2,10.29
bengkulu,ID,99,1586559989,80,-3.8,102.27,77.63,4.59
atuona,PF,79,1586559990,78,-9.8,-139.03,82.24,11.1
sao filipe,CV,2,1586559990,79,14.9,-24.5,74.46,13.71
broome,US,90,1586559990,55,42.25,-75.83,39.99,12.75
portland,US,20,1586559841,45,45.52,-122.68,72.0,5.82
mildura,AU,75,1586559991,67,-34.2,142.15,62.01,12.75
comodoro rivadavia,AR,75,1586559991,55,-45.87,-67.5,66.2,3.36
healesville,AU,75,1586559991,81,-37.65,145.52,57.99,18.34
kavaratti,IN,0,1586559991,70,10.57,72.64,84.13,6.11
araouane,ML,0,1586559908,12,18.9,-3.53,84.36,6.02
saskylakh,RU,92,1586559993,93,71.92,114.08,28.17,19.35
olafsvik,IS,36,1586559993,80,64.89,-23.71,36.52,13.82
anadyr,RU,0,1586559993,84,64.75,177.48,-2.0,6.71
new norfolk,AU,75,1586559993,71,-42.78,147.06,54.0,4.7
teguldet,RU,82,1586559994,97,57.31,88.17,30.04,4.85
busselton,AU,64,1586559994,51,-33.65,115.33,68.0,11.79
flinders,AU,40,1586559994,63,-34.58,150.86,69.01,6.93
marovoay,MG,75,1586559994,61,-16.1,46.63,80.6,6.93
tual,ID,60,1586559995,72,-5.67,132.75,83.64,7.49
nalut,LY,95,1586559995,25,30.33,10.85,67.57,15.19
raudeberg,NO,25,1586559995,80,61.99,5.14,41.0,9.17
poya,NC,49,1586559996,56,-21.35,165.15,78.66,3.22
kayes,ML,0,1586559996,11,14,-11,86.72,4.79
hithadhoo,MV,37,1586559723,61,-0.6,73.08,84.34,6.89
cabo san lucas,MX,40,1586559987,36,22.89,-109.91,78.01,13.87
jijiga,ET,55,1586559997,47,9.35,42.8,67.3,8.41
wakema,MM,36,1586559997,94,16.6,95.18,73.56,5.53
little elm,US,5,1586559943,30,33.16,-96.94,73.99,6.93
pangnirtung,CA,28,1586559997,81,66.15,-65.71,13.57,3.56
berlevag,NO,100,1586559998,89,70.86,29.09,26.98,21.34
taunggyi,MM,85,1586559998,40,20.78,97.03,60.8,2.17
tateyama,JP,20,1586559998,43,34.98,139.87,52.0,11.41
okha,RU,0,1586559999,92,53.57,142.95,28.83,4.56
arraial do cabo,BR,75,1586559850,88,-22.97,-42.03,71.6,3.36
isiro,CD,87,1586559999,80,2.77,27.62,68.2,1.19
makokou,GA,82,1586559999,83,0.57,12.86,71.83,1.52
tasiilaq,GL,99,1586560000,67,65.61,-37.64,23.0,3.53
vila velha,BR,90,1586560000,88,-20.33,-40.29,73.4,1.12
kralendijk,BQ,85,1586559843,78,12.15,-68.27,82.4,18.34
moanda,GA,99,1586560000,84,-1.56,13.22,72.54,2.19
hobart,AU,75,1586560001,71,-42.88,147.33,54.0,4.7
saint-georges,GD,20,1586560001,78,12.06,-61.75,82.4,10.29
namibe,AO,8,1586560001,58,-15.2,12.15,75.92,6.53
vaitape,PF,97,1586560002,74,-16.52,-151.75,84.06,8.7
touros,BR,20,1586560002,83,-5.2,-35.46,80.6,5.82
ouango,CF,72,1586560002,80,4.31,22.56,72.72,2.26
rikitea,PF,86,1586560002,74,-23.12,-134.97,77.43,7.4
beyneu,KZ,40,1586560003,67,45.32,55.2,44.06,12.19
ilulissat,GL,10,1586560003,63,69.22,-51.1,30.2,4.7
socorro,US,5,1586559859,12,31.65,-106.3,77.0,6.93
half moon bay,US,20,1586559860,59,37.46,-122.43,69.01,12.75
lakes entrance,AU,66,1586560004,83,-37.88,147.98,57.0,1.01
clyde river,CA,75,1586559785,85,70.47,-68.59,10.4,18.34
luderitz,NA,0,1586560004,82,-26.65,15.16,57.2,3.36
abu dhabi,AE,100,1586560004,15,24.47,54.37,91.4,4.7
kruisfontein,ZA,0,1586560005,58,-34,24.73,57.81,4.52
kununurra,AU,90,1586560005,94,-15.77,128.73,69.8,1.12
ketchikan,US,1,1586560005,39,55.34,-131.65,50.0,13.87
port elizabeth,ZA,75,1586560005,100,-33.92,25.57,59.0,3.36
diffa,NE,100,1586560006,15,13.32,12.61,83.59,9.53
haines junction,CA,0,1586560006,71,60.75,-137.51,29.37,4.05
nikolskoye,RU,75,1586560006,80,59.7,30.79,33.8,6.71
chulman,RU,60,1586560006,69,56.85,124.91,31.37,3.53
yuanping,CN,0,1586560007,40,38.72,112.76,43.79,4.72
killybegs,IE,99,1586560007,94,54.63,-8.45,52.0,5.99
makakilo city,US,90,1586560007,64,21.35,-158.09,82.4,9.17
hilo,US,75,1586559771,61,19.73,-155.09,80.6,8.05
dankaur,IN,40,1586560008,46,28.35,77.55,88.0,1.48
darhan,MN,0,1586560008,36,49.49,105.92,46.85,1.72
shimoda,JP,77,1586560008,44,34.67,138.95,51.01,1.01
avarua,CK,100,1586560009,89,-21.21,-159.78,84.2,6.93
pevek,RU,100,1586560009,88,69.7,170.31,6.08,22.95
barao de melgaco,BR,75,1586560011,62,-16.19,-55.97,84.2,4.7
bethel,US,90,1586560011,48,41.37,-73.41,46.99,10.29
baykit,RU,97,1586560011,94,61.67,96.37,28.24,4.94
amapa,BR,95,1586560011,91,1,-52,71.2,2.04
mar del plata,AR,0,1586559742,72,-38,-57.56,60.8,8.05
san policarpo,PH,99,1586560012,70,12.18,125.51,82.2,8.1
palembang,ID,40,1586560012,94,-2.92,104.75,77.0,3.36
cururupu,BR,69,1586560012,89,-1.83,-44.87,78.76,5.73
sorland,NO,100,1586560012,82,67.67,12.69,33.85,17.29
bambous virieux,MU,40,1586560013,78,-20.34,57.76,79.0,13.87
ahipara,NZ,28,1586559713,63,-35.17,173.17,64.81,4.12
kudahuvadhoo,MV,16,1586560013,66,2.67,72.89,83.84,2.48
taketa,JP,100,1586560014,81,32.97,131.38,48.2,4.7
senno,RU,72,1586560014,93,59.53,33.92,29.03,3.76
castro,BR,27,1586560014,63,-24.79,-50.01,55.06,3.33
mae chan,TH,86,1586560014,77,20.15,99.85,71.01,3.36
shenzhen,CN,40,1586559982,88,22.55,114.07,73.99,14.99
fayaoue,NC,82,1586560015,62,-20.65,166.53,76.19,7.56
udachnyy,RU,2,1586560015,62,66.42,112.4,24.8,11.18
murgab,TM,90,1586560015,87,37.5,61.97,51.8,6.93
falmouth,GB,80,1586560015,81,50.15,-5.07,59.0,17.22
caravelas,BR,71,1586560016,85,-17.71,-39.25,77.65,14.2
chuy,UY,0,1586559779,84,-33.7,-53.46,61.65,6.78
